p,theoretical,simulated,difference,type,probability
0.1,0.5263157894736844,0.526619,-3.032105263155449E-4,Theoretical,0.5263157894736844
0.3,0.5882352941176471,0.587536,6.992941176471312E-4,Theoretical,0.5882352941176471
0.5,0.6666666666666666,0.666558,1.0866666666664582E-4,Theoretical,0.6666666666666666
0.7,0.7692307692307693,0.76968,-4.4923076923075733E-4,Theoretical,0.7692307692307693
0.9,0.9090909090909092,0.909293,-2.0209090909084626E-4,Theoretical,0.9090909090909092
0.1,0.5263157894736844,0.526619,-3.032105263155449E-4,Simulated,0.526619
0.3,0.5882352941176471,0.587536,6.992941176471312E-4,Simulated,0.587536
0.5,0.6666666666666666,0.666558,1.0866666666664582E-4,Simulated,0.666558
0.7,0.7692307692307693,0.76968,-4.4923076923075733E-4,Simulated,0.76968
0.9,0.9090909090909092,0.909293,-2.0209090909084626E-4,Simulated,0.909293
